7t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/7t/outs/atac_fragments.tsv.gz
11t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/11t/outs/atac_fragments.tsv.gz
1t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/1t/outs/atac_fragments.tsv.gz
18t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/18t/outs/atac_fragments.tsv.gz
13t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/13t/outs/atac_fragments.tsv.gz
16t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/16t/outs/atac_fragments.tsv.gz
pt20pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/pt20pre/outs/atac_fragments.tsv.gz
pt23pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/pt23pre/outs/atac_fragments.tsv.gz
12t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/old_samples_do_not_use/cr_arc/12t/outs/atac_fragments.tsv.gz
24t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/24t/outs/fragments.tsv.gz
pt6_pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt6_pre/outs/fragments.tsv.gz
pt1_pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt1_pre/outs/fragments.tsv.gz
pt14pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt14pre/outs/fragments.tsv.gz
pt5_pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt5_pre/outs/fragments.tsv.gz
pt9_pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt9_pre/outs/fragments.tsv.gz
