"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"ALB",3.52152539631483,3.81209758687133,2.18698279317984,1.27210727368639,2.31400498653586,5.24342478200282,1.23567610390226,4.56791633391385,0.00858720288136759,1.63361080081129,2.72340904697447,3.92367771109992,2.23341923864036,3.71859423747471,1.68406759949732,4.58182424319794,2.12846706795736,4.00808114679048
"APOA1",1.36183048085283,1.50006717993384,0.964626325969457,0.22926331633283,1.45717107321505,2.71746098516674,0.293260277502328,3.14356420047938,0.00365931425287502,0.332029676092377,0.947505312286779,1.6955917726227,1.05274895351026,0.318466089994748,0.386435261824922,0.60199454888264,0,0
"APOA2",2.98076495372306,3.56363010523662,2.05309352579015,0.960649822070408,1.70310031986323,4.63481344049091,0.888937627738391,2.97045241069507,0.00364579915362843,1.29780322051724,3.81010271148829,3.46943884876773,1.75003434070239,2.3349768804362,1.41334269106281,3.23229404041225,1.69324879799367,1.31264677432616
"TF",1.0806678273229,2.19134492450503,0.756890708354796,0.353598762076829,0.745556962768531,3.61017331036444,0.349958590845571,2.36180253038465,0.00400527695854686,0.506323963863098,1.21003441949013,2.22225274060848,0.777043379109664,2.2497505139844,0.589765239569763,3.4086267597018,2.51232330902594,1.36252575765323
"TTR",1.18443602392416,1.60919354961615,0.84290978180743,0.1396021550868,1.08104123003953,2.13333327747503,0.206354093982886,2.83537781598906,0.000740376787062853,0.268829810088592,0.757568502283547,0.358786150362502,1.02885997458738,0.0667100232222213,0.318965197664928,0.317098807519614,0,0
"HNF4A",0.0613835534358086,0.411020672940349,0.026145711821858,0.0546515431767046,0.053465863766417,1.17138190319933,0.0446092847316122,0.868839120780415,0.00122628413605815,0.0775380375484788,0.36050833897089,0.0398948986141847,0.084105553852946,0.229856657406424,0.113188497451156,0.820715230861631,0.511405209324292,0.674223549210293
"CYP3A4",0.225276244894498,0.0379363212900829,0.0677842210601084,0.0415281752551057,0.203256915580555,0.710594960228708,0.0258546107302254,0.129841103779479,0.0017744504641526,0.0578296728604496,0.00068968674164778,0.00299936593837927,0.149067504563026,0.205426216281929,0.0589175787682458,0.672919641627704,0,0.674223549210293
"CYP2E1",0.601780281787908,0.354307726702596,0.119169215266176,0.60918333335826,0.314056987749378,2.92601698102064,0.330075652684381,0.16063651676375,0.00642189803984545,0.740021199098673,0.000601083962670766,0.0100319634923912,0.287704217381721,2.14673000951166,0.661460893980947,4.73047411867468,2.67121410488147,1.86116917502306
"KRT19",0.00138320171832103,0.00807349526849485,0.000971226550748681,0.000999644746137664,0.00111097831937005,0.0431289208223175,0.00344001290141447,6.27402860290924e-05,0,0.00248371943522024,0.00484137050950486,0.0115351788427995,0.00049128282777488,0.0011300416189882,0.0078626254391629,0,0,0
"KRT7",0.00429389466551029,0.0120487934747155,0.0049235878697112,0.00662086689606327,0.00453308965516646,0.183640406877078,0.00760848900026225,0.126283664485751,0.00358689750132009,0.0103175596927121,0.0467088800988797,0.00190826206312002,0.0114716140334207,0.00385563021126561,0.0185969372985219,0.00197695285586134,0,0
