peak_id	X__11t	X__12t	X__13t	X__15t	X__16t	X__17t	X__18t	X__19t	X__1t	X__20t	X__22t	X__24t	X__3t	X__7t	X__pt1_pre	X__pt11_pre	X__pt12pre	X__pt14pre	X__pt16pre	X__pt17pre	X__pt20pre	X__pt22pre	X__pt23pre	X__pt24pre	X__pt26pre	X__pt29pre	X__pt30pre	X__pt5_pre	X__pt6_pre	X__pt9_pre
chr1:15524820-15525320	1136.78651816601	976.940269505641	1182.14896816716	657.245990069408	657.385523061515	4776.2638556887	1335.35923822989	0	0	0	1681.55851062457	123.650638285795	1274.73274646616	926.873549811612	1088.16568595183	132.104911658042	972.094781867987	334.555849234813	199.678648235225	902.065540996347	515.735195192379	0	595.335546927438	49.8546977158353	1557.27430491711	0	1153.44794611249	1442.43354020094	636.267312911332	0
chr1:17237004-17237504	154.917164663699	103.860759548772	167.105732379122	81.2242776843146	93.9122175802164	0	141.567136366879	0	0	0	144.133586624963	25.8803661528408	125.899530515177	20.1494249959046	0	0	0	0	0	138.779313999438	66.5464767990167	0	31.3334498382862	37.3910232868765	0	0	0	0	0	0
chr10:38355871-38356371	78.5495482801852	51.9303797743862	123.261159032125	23.1004826441629	46.9561087901082	0	85.7570152991673	0	0	0	136.576020285077	20.1291736744318	62.9497652575884	40.2988499918092	0	75.4885209474525	0	0	0	0	33.2732383995083	0	0	0	0	0	0	0	0	0
chr10:50067698-50068198	205.10159828715	129.825949435966	227.495427743854	116.247590080303	46.9561087901082	0	186.487477714062	0	0	0	258.036907890383	51.7607323056817	157.374413143971	90.6724124815707	0	37.7442604737262	0	143.381078243491	199.678648235225	0	99.819715198525	0	0	0	0	0	0	0	0	0
chr11:18634277-18634777	877.136622462069	840.623022597877	886.818540150589	480.639074370486	422.604979110974	4776.2638556887	936.52105596551	0	1169.11108436256	0	864.801519749777	126.526234525	1007.19624412141	463.436774905806	1088.16568595183	37.7442604737262	680.466347307591	310.659002860898	399.357296470449	416.337941998314	216.276049596804	0	188.000699029717	56.0865349303148	359.370993442409	504.975525593398	576.723973056247	769.297888107171	636.267312911332	0
chr11:33039013-33039513	569.484225031343	405.706091987392	419.418843149579	232.495180160607	493.039142296136	0	605.743996954436	0	2338.22216872513	0	430.24145520635	40.2583473488635	440.648356803119	216.606318705975	241.814596878185	75.4885209474525	0	573.524312973965	1098.23256529374	520.422427497892	199.63943039705	0	78.3336245957155	6.23183721447942	0	0	0	0	0	0
chr12:21437532-21438032	362.200694847521	220.704114041141	385.501343013222	149.780548757314	187.824435160433	0	382.503512683588	0	0	0	310.400046102448	40.2583473488635	110.16208920078	105.784481228499	0	0	972.094781867987	95.5873854956609	0	208.168970999157	116.456334398279	0	62.6668996765724	12.4636744289588	239.58066229494	0	576.723973056247	192.324472026793	0	185.531300854836
chr14:105086691-105087191	264.013759497289	100.615110812873	358.20189168396	114.012059501836	211.302489555487	0	223.240484270848	0	0	0	160.868197806138	23.0047699136363	141.636971829574	55.4109187387377	241.814596878185	37.7442604737262	0	95.5873854956609	399.357296470449	138.779313999438	166.366191997542	0	31.3334498382862	18.6955116434383	0	0	0	384.648944053585	0	0
chr15:73994402-73994902	746.22070866176	840.623022597877	664.286649012055	334.584409910617	164.346380765379	4776.2638556887	714.641794159728	0	0	0	724.446716294757	34.5071548704545	613.760211261487	367.727006175259	483.629193756369	264.209823316084	583.256869120792	238.968463739152	399.357296470449	416.337941998314	366.005622394592	0	156.667249191431	0	239.58066229494	0	576.723973056247	769.297888107171	0	0
chr16:28609751-28610251	205.10159828715	152.54549058726	199.368720313705	106.560290906945	46.9561087901082	0	189.209922644195	0	0	0	663.446359408537	83.3922909369316	220.324178401559	75.5603437346423	241.814596878185	207.593432605494	0	47.7936927478304	199.678648235225	312.253456498735	66.5464767990167	0	94.0003495148586	6.23183721447942	0	0	576.723973056247	192.324472026793	0	0
